test_clinic,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_test_observed,n_test_total
17,0,1,HCP++,1,55.01159843027769,0,107.2189403306895,162.2305387609672,134.33,134.72473954582836,17,1,26
17,0,1,HCP.sample,1,56.466370514488005,0,107.02277813329846,163.48914864778646,134.33,134.72473954582836,17,1,26
17,0,1,HCP,1,56.858718070110285,0,106.8457599739736,163.70447804408388,134.33,135.27511900902874,17,1,26
17,0,1,Pooling,1,45.512878985387715,0,112.51867951633488,158.0315585017226,134.33,135.27511900902874,17,1,26
17,0,1,Subsampling,1,63.765904237351094,0,103.3921668903532,167.1580711277043,134.33,135.27511900902874,17,1,26
17,0,1,Repeated,1,56.70004081495061,0,106.92509860155344,163.62513941650406,134.33,135.27511900902874,17,1,26
17,25,7,HCP++,1,50.55071166801143,0,105.43307085108752,155.98378251909895,147.0,130.70842668509323,17,7,26
17,25,7,HCP.sample,1,50.33779417124032,0,102.10416751795654,152.44196168919686,147.0,130.70842668509323,17,7,26
17,25,7,HCP,1,56.858718070110285,0,114.27800623305279,171.13672430316308,147.0,142.70736526810794,17,7,26
17,25,7,Pooling,1,45.512878985387715,0,119.95092577541408,165.4638047608018,147.0,142.70736526810794,17,7,26
17,25,7,Subsampling,1,46.411637870448544,0,119.50154633288366,165.9131842033322,147.0,142.70736526810794,17,7,26
17,25,7,Repeated,1,59.39507226067724,0,113.00982913776932,172.40490139844655,147.0,142.70736526810794,17,7,26
17,50,13,HCP++,1,47.360847841718794,0,101.99976874568705,149.36061658740584,137.67,125.68019266654645,17,13,26
17,50,13,HCP.sample,1,43.7555170245526,0,104.83596131492106,148.59147833947367,137.67,125.68019266654645,17,13,26
17,50,13,HCP,1,56.858718070110285,0,108.60144062328146,165.46015869339175,137.67,137.0307996583366,17,13,26
17,50,13,Pooling,1,45.512878985387715,0,114.27436016564275,159.78723915103046,137.67,137.0307996583366,17,13,26
17,50,13,Subsampling,1,60.96878548391406,0,106.54640691637958,167.51519240029364,137.67,137.0307996583366,17,13,26
17,50,13,Repeated,1,54.19401413274761,0,109.9337925919628,164.1278067247104,137.67,137.0307996583366,17,13,26
17,75,19,HCP++,1,62.94576528922647,0,97.05423471077353,160.0,132.67,128.52711735538676,17,19,26
17,75,19,HCP.sample,1,52.236551351773656,0,106.14902245907636,158.38557381085002,132.67,128.52711735538676,17,19,26
17,75,19,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,132.67,136.21986171408355,17,19,26
17,75,19,Pooling,1,45.512878985387715,0,113.46342222138969,158.9763012067774,132.67,136.21986171408355,17,19,26
17,75,19,Subsampling,1,59.39507226067724,0,106.52232558374493,165.91739784442217,132.67,136.21986171408355,17,19,26
17,75,19,Repeated,1,60.96878548391406,0,105.73546897212653,166.7042544560406,132.67,136.21986171408355,17,19,26
29,0,1,HCP++,1,58.05602324052978,0,105.62075576519177,163.67677900572156,134.33,134.64876738545667,17,1,26
29,0,1,HCP.sample,1,55.679869314880264,0,107.41602873310232,163.0958980479826,134.33,134.64876738545667,17,1,26
29,0,1,HCP,1,56.858718070110285,0,106.8457599739736,163.70447804408388,134.33,135.27511900902874,17,1,26
29,0,1,Pooling,1,45.512878985387715,0,112.51867951633488,158.0315585017226,134.33,135.27511900902874,17,1,26
29,0,1,Subsampling,1,56.858718070110285,0,106.8457599739736,163.70447804408388,134.33,135.27511900902874,17,1,26
29,0,1,Repeated,1,54.19401413274761,0,108.17811194265494,162.37212607540255,134.33,135.27511900902874,17,1,26
29,25,7,HCP++,1,48.89823507331931,0,108.3747748845754,157.27300995789471,147.0,132.82389242123506,17,7,26
29,25,7,HCP.sample,1,47.26721938960192,0,103.63945490877573,150.90667429837765,147.0,132.82389242123506,17,7,26
29,25,7,HCP,1,56.858718070110285,0,114.27800623305279,171.13672430316308,147.0,142.70736526810794,17,7,26
29,25,7,Pooling,1,45.512878985387715,0,119.95092577541408,165.4638047608018,147.0,142.70736526810794,17,7,26
29,25,7,Subsampling,1,74.72273446403314,0,105.34599803609136,180.0687325001245,147.0,142.70736526810794,17,7,26
29,25,7,Repeated,1,54.049233175954726,0,115.68274868013057,169.7319818560853,147.0,142.70736526810794,17,7,26
29,50,13,HCP++,1,46.96029919834571,0,102.59484896349089,149.5551481618366,137.67,126.07499856266375,17,13,26
29,50,13,HCP.sample,1,49.22358348445607,0,106.04670528036056,155.27028876481663,137.67,126.07499856266375,17,13,26
29,50,13,HCP,1,56.858718070110285,0,108.60144062328146,165.46015869339175,137.67,137.0307996583366,17,13,26
29,50,13,Pooling,1,45.512878985387715,0,114.27436016564275,159.78723915103046,137.67,137.0307996583366,17,13,26
29,50,13,Subsampling,1,83.64191670345669,0,95.20984130660825,178.85175801006494,137.67,137.0307996583366,17,13,26
29,50,13,Repeated,1,54.049233175954726,0,110.00618307035924,164.05541624631397,137.67,137.0307996583366,17,13,26
29,75,19,HCP++,1,62.94576528922647,0,97.05423471077353,160.0,132.67,128.52711735538676,17,19,26
29,75,19,HCP.sample,1,57.48006490263464,0,101.95671122801559,159.43677613065023,132.67,128.52711735538676,17,19,26
29,75,19,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,132.67,136.21986171408355,17,19,26
29,75,19,Pooling,1,45.512878985387715,0,113.46342222138969,158.9763012067774,132.67,136.21986171408355,17,19,26
29,75,19,Subsampling,1,74.72273446403314,0,98.85849448206697,173.5812289461001,132.67,136.21986171408355,17,19,26
